investor_id,Active_Months,Continuation_Status
INV000197,4,Dropped
INV000198,1,Dropped
INV000199,5,Dropped
INV000200,7,Consistent
INV000201,8,Consistent
INV000202,3,Dropped
INV000203,6,Consistent
INV000204,7,Consistent
INV000205,7,Consistent
INV000206,3,Dropped
INV000207,5,Dropped
INV000208,1,Dropped
INV000209,2,Dropped
INV000210,8,Consistent
INV000211,6,Consistent
INV000212,2,Dropped
INV000213,6,Consistent
INV000214,8,Consistent
INV000215,6,Consistent
INV000216,6,Consistent
INV000217,10,Consistent
INV000218,1,Dropped
INV000219,4,Dropped
INV000220,4,Dropped
INV000221,7,Consistent
INV000222,5,Dropped
INV000223,9,Consistent
INV000224,7,Consistent
INV000225,7,Consistent
INV000226,7,Consistent
INV000227,5,Dropped
INV000228,9,Consistent
INV000229,6,Consistent
INV000230,7,Consistent
INV000231,7,Consistent
INV000232,2,Dropped
INV000233,2,Dropped
INV000234,6,Consistent
INV000235,6,Consistent
INV000236,8,Consistent
INV000237,3,Dropped
INV000238,8,Consistent
INV000239,9,Consistent
INV000240,2,Dropped
INV000241,8,Consistent
INV000242,8,Consistent
INV000243,8,Consistent
INV000244,6,Consistent
INV000245,9,Consistent
INV000246,4,Dropped
INV000247,1,Dropped
INV000248,3,Dropped
INV000249,5,Dropped
INV000250,1,Dropped
INV000251,4,Dropped
INV000252,7,Consistent
INV000253,2,Dropped
INV000254,2,Dropped
INV000255,6,Consistent
INV000256,10,Consistent
INV000257,7,Consistent
INV000258,1,Dropped
INV000259,6,Consistent
INV000260,9,Consistent
INV000261,8,Consistent
INV000262,9,Consistent
INV000263,6,Consistent
INV000264,2,Dropped
INV000265,6,Consistent
INV000266,6,Consistent
INV000267,8,Consistent
INV000268,9,Consistent
INV000269,4,Dropped
INV000270,4,Dropped
INV000271,5,Dropped
INV000272,4,Dropped
INV000273,1,Dropped
INV000274,6,Consistent
INV000275,4,Dropped
INV000276,5,Dropped
INV000277,1,Dropped
INV000278,8,Consistent
INV000279,6,Consistent
INV000280,9,Consistent
INV000281,3,Dropped
INV000282,3,Dropped
INV000283,9,Consistent
INV000284,6,Consistent
INV000285,5,Dropped
INV000286,7,Consistent
INV000287,7,Consistent
INV000288,9,Consistent
INV000289,9,Consistent
INV000290,3,Dropped
INV000291,7,Consistent
INV000292,7,Consistent
INV000293,9,Consistent
INV000294,6,Consistent
INV000295,3,Dropped
INV000296,6,Consistent
INV000297,8,Consistent
INV000298,6,Consistent
INV000299,10,Consistent
INV000300,3,Dropped
INV000301,6,Consistent
INV000302,2,Dropped
INV000303,6,Consistent
INV000304,7,Consistent
INV000305,7,Consistent
INV000306,3,Dropped
INV000307,6,Consistent
INV000308,7,Consistent
INV000309,9,Consistent
INV000310,10,Consistent
INV000311,4,Dropped
INV000312,8,Consistent
INV000313,3,Dropped
INV000314,7,Consistent
INV000315,5,Dropped
INV000316,6,Consistent
INV000317,4,Dropped
INV000318,8,Consistent
INV000319,7,Consistent
INV000320,10,Consistent
INV000321,10,Consistent
INV000322,4,Dropped
INV000323,6,Consistent
INV000324,3,Dropped
INV000325,3,Dropped
INV000326,6,Consistent
INV000327,4,Dropped
INV000328,8,Consistent
INV000329,3,Dropped
INV000330,6,Consistent
INV000331,10,Consistent
INV000332,5,Dropped
INV000333,5,Dropped
INV000334,8,Consistent
INV000335,9,Consistent
INV000336,2,Dropped
INV000337,6,Consistent
INV000338,3,Dropped
INV000339,7,Consistent
INV000340,5,Dropped
INV000341,6,Consistent
INV000342,1,Dropped
INV000343,4,Dropped
INV000344,8,Consistent
INV000345,1,Dropped
INV000346,5,Dropped
INV000347,2,Dropped
INV000348,4,Dropped
INV000349,9,Consistent
INV000350,2,Dropped
INV000351,6,Consistent
INV000352,4,Dropped
INV000353,3,Dropped
INV000354,7,Consistent
INV000355,1,Dropped
INV000356,5,Dropped
INV000357,5,Dropped
INV000358,2,Dropped
INV000359,8,Consistent
INV000360,8,Consistent
INV000361,5,Dropped
INV000362,2,Dropped
INV000363,7,Consistent
INV000364,4,Dropped
INV000365,1,Dropped
INV000366,4,Dropped
INV000367,3,Dropped
INV000368,2,Dropped
INV000369,6,Consistent
INV000370,6,Consistent
INV000371,7,Consistent
INV000372,8,Consistent
INV000373,3,Dropped
INV000374,5,Dropped
INV000375,1,Dropped
INV000376,3,Dropped
INV000377,7,Consistent
INV000378,5,Dropped
INV000379,4,Dropped
INV000380,6,Consistent
INV000381,2,Dropped
INV000382,2,Dropped
INV000383,7,Consistent
INV000384,7,Consistent
INV000385,4,Dropped
INV000386,1,Dropped
INV000387,8,Consistent
INV000388,10,Consistent
INV000389,6,Consistent
INV000390,7,Consistent
INV000391,1,Dropped
INV000392,8,Consistent
INV000393,6,Consistent
INV000394,7,Consistent
INV000395,7,Consistent
INV000396,10,Consistent
INV000397,5,Dropped
INV000398,2,Dropped
INV000399,9,Consistent
INV000400,8,Consistent
INV000401,3,Dropped
INV000402,5,Dropped
INV000403,9,Consistent
INV000404,2,Dropped
INV000405,2,Dropped
INV000406,1,Dropped
INV000407,7,Consistent
INV000408,6,Consistent
INV000409,4,Dropped
INV000410,7,Consistent
INV000411,5,Dropped
INV000412,7,Consistent
INV000413,7,Consistent
INV000414,9,Consistent
INV000415,7,Consistent
INV000416,2,Dropped
INV000417,6,Consistent
INV000418,6,Consistent
INV000419,3,Dropped
INV000420,1,Dropped
INV000421,6,Consistent
INV000422,1,Dropped
INV000423,3,Dropped
INV000424,2,Dropped
INV000425,6,Consistent
INV000426,3,Dropped
INV000427,8,Consistent
INV000428,7,Consistent
INV000429,6,Consistent
INV000430,6,Consistent
INV000431,8,Consistent
INV000432,5,Dropped
INV000433,4,Dropped
INV000434,1,Dropped
INV000435,1,Dropped
INV000436,6,Consistent
INV000437,6,Consistent
INV000438,4,Dropped
INV000439,8,Consistent
INV000440,10,Consistent
INV000441,5,Dropped
INV000442,4,Dropped
INV000443,4,Dropped
INV000444,9,Consistent
INV000445,9,Consistent
INV000446,7,Consistent
INV000447,1,Dropped
INV000448,4,Dropped
INV000449,8,Consistent
INV000450,2,Dropped
INV000451,2,Dropped
INV000452,10,Consistent
INV000453,6,Consistent
INV000454,5,Dropped
INV000455,3,Dropped
INV000456,5,Dropped
INV000457,7,Consistent
INV000458,10,Consistent
INV000459,4,Dropped
INV000460,7,Consistent
INV000461,3,Dropped
INV000462,2,Dropped
INV000463,9,Consistent
INV000464,1,Dropped
INV000465,5,Dropped
INV000466,6,Consistent
INV000467,6,Consistent
INV000468,1,Dropped
INV000469,9,Consistent
INV000470,4,Dropped
INV000471,5,Dropped
INV000472,3,Dropped
INV000473,6,Consistent
INV000474,5,Dropped
INV000475,3,Dropped
INV000476,2,Dropped
INV000477,7,Consistent
INV000478,3,Dropped
INV000479,2,Dropped
INV000480,7,Consistent
INV000481,8,Consistent
INV000482,8,Consistent
INV000483,9,Consistent
INV000484,1,Dropped
INV000485,6,Consistent
INV000486,2,Dropped
INV000487,6,Consistent
INV000488,7,Consistent
INV000489,5,Dropped
INV000490,3,Dropped
INV000491,8,Consistent
INV000492,6,Consistent
INV000493,10,Consistent
INV000494,5,Dropped
INV000495,7,Consistent
INV000496,6,Consistent
INV000497,7,Consistent
INV000498,3,Dropped
INV000499,8,Consistent
INV000500,8,Consistent
INV000501,3,Dropped
INV000502,1,Dropped
INV000503,3,Dropped
INV000504,1,Dropped
INV000505,6,Consistent
INV000506,3,Dropped
INV000507,8,Consistent
INV000508,2,Dropped
INV000509,5,Dropped
INV000510,4,Dropped
INV000511,7,Consistent
INV000512,8,Consistent
INV000513,2,Dropped
INV000514,5,Dropped
INV000515,3,Dropped
INV000516,2,Dropped
INV000517,4,Dropped
INV000518,2,Dropped
INV000519,5,Dropped
INV000520,6,Consistent
INV000521,8,Consistent
INV000522,9,Consistent
INV000523,7,Consistent
INV000524,6,Consistent
INV000525,6,Consistent
INV000526,8,Consistent
INV000527,7,Consistent
INV000528,1,Dropped
INV000529,8,Consistent
INV000530,5,Dropped
INV000531,6,Consistent
INV000532,9,Consistent
INV000533,5,Dropped
INV000534,2,Dropped
INV000535,6,Consistent
INV000536,4,Dropped
INV000537,5,Dropped
INV000538,4,Dropped
INV000539,8,Consistent
INV000540,9,Consistent
INV000541,2,Dropped
INV000542,5,Dropped
INV000543,7,Consistent
INV000544,6,Consistent
INV000545,9,Consistent
INV000546,8,Consistent
INV000547,10,Consistent
INV000548,8,Consistent
INV000549,8,Consistent
INV000550,4,Dropped
INV000551,4,Dropped
INV000552,9,Consistent
INV000553,6,Consistent
INV000554,9,Consistent
INV000555,3,Dropped
INV000556,8,Consistent
INV000557,5,Dropped
INV000558,6,Consistent
INV000559,5,Dropped
INV000560,4,Dropped
INV000561,1,Dropped
INV000562,4,Dropped
INV000563,9,Consistent
INV000564,3,Dropped
INV000565,3,Dropped
INV000566,8,Consistent
INV000567,7,Consistent
INV000568,7,Consistent
INV000569,9,Consistent
INV000570,8,Consistent
INV000571,1,Dropped
INV000572,5,Dropped
INV000573,9,Consistent
INV000574,3,Dropped
INV000575,5,Dropped
INV000576,6,Consistent
INV000577,7,Consistent
INV000578,10,Consistent
INV000579,1,Dropped
INV000580,8,Consistent
INV000581,10,Consistent
INV000582,1,Dropped
INV000583,6,Consistent
INV000584,6,Consistent
INV000585,9,Consistent
INV000586,8,Consistent
INV000587,8,Consistent
INV000588,2,Dropped
INV000589,10,Consistent
INV000590,3,Dropped
INV000591,8,Consistent
INV000592,5,Dropped
INV000593,9,Consistent
INV000594,1,Dropped
INV000595,8,Consistent
INV000596,10,Consistent
INV000597,6,Consistent
INV000598,5,Dropped
INV000599,7,Consistent
INV000600,5,Dropped
INV000601,7,Consistent
INV000602,9,Consistent
INV000603,4,Dropped
INV000604,8,Consistent
INV000605,2,Dropped
INV000606,9,Consistent
INV000607,6,Consistent
INV000608,5,Dropped
INV000609,7,Consistent
INV000610,1,Dropped
INV000611,5,Dropped
INV000612,9,Consistent
INV000613,2,Dropped
INV000614,5,Dropped
INV000615,7,Consistent
INV000616,7,Consistent
INV000617,3,Dropped
INV000618,2,Dropped
INV000619,7,Consistent
INV000620,1,Dropped
INV000621,9,Consistent
INV000622,3,Dropped
INV000623,9,Consistent
INV000624,8,Consistent
INV000625,11,Consistent
INV000626,5,Dropped
INV000627,3,Dropped
INV000628,2,Dropped
INV000629,5,Dropped
INV000630,7,Consistent
INV000631,7,Consistent
INV000632,4,Dropped
INV000633,6,Consistent
INV000634,10,Consistent
INV000635,4,Dropped
INV000636,4,Dropped
INV000637,5,Dropped
INV000638,7,Consistent
INV000639,9,Consistent
INV000640,1,Dropped
INV000641,7,Consistent
INV000642,9,Consistent
INV000643,5,Dropped
INV000644,3,Dropped
INV000645,9,Consistent
INV000646,9,Consistent
INV000647,3,Dropped
INV000648,4,Dropped
INV000649,7,Consistent
INV000650,4,Dropped
INV000651,6,Consistent
INV000652,9,Consistent
INV000653,2,Dropped
INV000654,5,Dropped
INV000655,2,Dropped
INV000656,6,Consistent
INV000657,8,Consistent
INV000658,6,Consistent
INV000659,5,Dropped
INV000660,5,Dropped
INV000661,7,Consistent
INV000662,10,Consistent
INV000663,5,Dropped
INV000664,6,Consistent
INV000665,8,Consistent
INV000666,6,Consistent
INV000667,8,Consistent
INV000668,5,Dropped
INV000669,3,Dropped
INV000670,3,Dropped
INV000671,7,Consistent
INV000672,3,Dropped
INV000673,6,Consistent
INV000674,3,Dropped
INV000675,9,Consistent
INV000676,8,Consistent
INV000677,4,Dropped
INV000678,9,Consistent
INV000679,4,Dropped
INV000680,3,Dropped
INV000681,3,Dropped
INV000682,5,Dropped
INV000683,9,Consistent
INV000684,5,Dropped
INV000685,1,Dropped
INV000686,2,Dropped
INV000687,4,Dropped
INV000688,3,Dropped
INV000689,7,Consistent
INV000690,11,Consistent
INV000691,7,Consistent
INV000692,1,Dropped
INV000693,7,Consistent
INV000694,7,Consistent
INV000695,7,Consistent
INV000696,4,Dropped
INV000697,1,Dropped
INV000698,9,Consistent
INV000699,6,Consistent
INV000700,3,Dropped
INV000701,8,Consistent
INV000702,3,Dropped
INV000703,6,Consistent
INV000704,6,Consistent
INV000705,4,Dropped
INV000706,8,Consistent
INV000707,8,Consistent
INV000708,6,Consistent
INV000709,10,Consistent
INV000710,7,Consistent
INV000711,7,Consistent
INV000712,1,Dropped
INV000713,4,Dropped
INV000714,6,Consistent
INV000715,6,Consistent
INV000716,2,Dropped
INV000717,7,Consistent
INV000718,8,Consistent
INV000719,8,Consistent
INV000720,8,Consistent
INV000721,7,Consistent
INV000722,7,Consistent
INV000723,4,Dropped
INV000724,6,Consistent
INV000725,7,Consistent
INV000726,6,Consistent
INV000727,2,Dropped
INV000728,7,Consistent
INV000729,5,Dropped
INV000730,5,Dropped
INV000731,3,Dropped
INV000732,7,Consistent
INV000733,7,Consistent
INV000734,7,Consistent
INV000735,6,Consistent
INV000736,8,Consistent
INV000737,8,Consistent
INV000738,7,Consistent
INV000739,6,Consistent
INV000740,2,Dropped
INV000741,7,Consistent
INV000742,5,Dropped
INV000743,4,Dropped
INV000744,6,Consistent
INV000745,6,Consistent
INV000746,8,Consistent
INV000747,8,Consistent
INV000748,4,Dropped
INV000749,9,Consistent
INV000750,8,Consistent
INV000751,9,Consistent
INV000752,6,Consistent
INV000753,6,Consistent
INV000754,7,Consistent
INV000755,5,Dropped
INV000756,3,Dropped
INV000757,6,Consistent
INV000758,6,Consistent
INV000759,8,Consistent
INV000760,4,Dropped
INV000761,8,Consistent
INV000762,4,Dropped
INV000763,1,Dropped
INV000764,6,Consistent
INV000765,9,Consistent
INV000766,4,Dropped
INV000767,5,Dropped
INV000768,10,Consistent
INV000769,7,Consistent
INV000770,3,Dropped
INV000771,4,Dropped
INV000772,9,Consistent
INV000773,1,Dropped
INV000774,8,Consistent
INV000775,4,Dropped
INV000776,8,Consistent
INV000777,8,Consistent
INV000778,7,Consistent
INV000779,11,Consistent
INV000780,1,Dropped
INV000781,5,Dropped
INV000782,3,Dropped
INV000783,8,Consistent
INV000784,5,Dropped
INV000785,8,Consistent
INV000786,7,Consistent
INV000787,1,Dropped
INV000788,5,Dropped
INV000789,8,Consistent
INV000790,1,Dropped
INV000791,9,Consistent
INV000792,2,Dropped
INV000793,10,Consistent
INV000794,1,Dropped
INV000795,4,Dropped
INV000796,4,Dropped
INV000797,4,Dropped
INV000798,1,Dropped
INV000799,7,Consistent
INV000800,4,Dropped
INV000801,4,Dropped
INV000802,4,Dropped
INV000803,9,Consistent
INV000804,6,Consistent
INV000805,1,Dropped
INV000806,10,Consistent
INV000807,1,Dropped
INV000808,4,Dropped
INV000809,5,Dropped
INV000810,8,Consistent
INV000811,4,Dropped
INV000812,1,Dropped
INV000813,5,Dropped
INV000814,6,Consistent
INV000815,4,Dropped
INV000816,5,Dropped
INV000817,1,Dropped
INV000818,5,Dropped
INV000819,4,Dropped
INV000820,3,Dropped
INV000821,9,Consistent
INV000822,6,Consistent
INV000823,7,Consistent
INV000824,4,Dropped
INV000825,5,Dropped
INV000826,7,Consistent
INV000827,8,Consistent
INV000828,2,Dropped
INV000829,7,Consistent
INV000830,8,Consistent
INV000831,4,Dropped
INV000832,4,Dropped
INV000833,8,Consistent
INV000834,3,Dropped
INV000835,1,Dropped
INV000836,7,Consistent
INV000837,3,Dropped
INV000838,4,Dropped
INV000839,3,Dropped
INV000840,7,Consistent
INV000841,6,Consistent
INV000842,1,Dropped
INV000843,8,Consistent
INV000844,8,Consistent
INV000845,5,Dropped
INV000846,4,Dropped
INV000847,7,Consistent
INV000848,2,Dropped
INV000849,7,Consistent
INV000850,4,Dropped
INV000851,7,Consistent
INV000852,4,Dropped
INV000853,10,Consistent
INV000854,7,Consistent
INV000855,4,Dropped
INV000856,8,Consistent
INV000857,7,Consistent
INV000858,8,Consistent
INV000859,3,Dropped
INV000860,8,Consistent
INV000861,6,Consistent
INV000862,7,Consistent
INV000863,1,Dropped
INV000864,8,Consistent
INV000865,9,Consistent
INV000866,2,Dropped
INV000867,4,Dropped
INV000868,1,Dropped
INV000869,7,Consistent
INV000870,6,Consistent
INV000871,1,Dropped
INV000872,1,Dropped
INV000873,7,Consistent
INV000874,11,Consistent
INV000875,3,Dropped
INV000876,6,Consistent
INV000877,8,Consistent
INV000878,2,Dropped
INV000879,3,Dropped
INV000880,6,Consistent
INV000881,9,Consistent
INV000882,1,Dropped
INV000883,2,Dropped
INV000884,3,Dropped
INV000885,5,Dropped
INV000886,2,Dropped
INV000887,7,Consistent
INV000888,8,Consistent
INV000889,2,Dropped
INV000890,5,Dropped
INV000891,8,Consistent
INV000892,5,Dropped
INV000893,7,Consistent
INV000894,7,Consistent
INV000895,6,Consistent
INV000896,2,Dropped
INV000897,3,Dropped
INV000898,2,Dropped
INV000899,3,Dropped
INV000900,5,Dropped
INV000901,6,Consistent
INV000902,8,Consistent
INV000903,1,Dropped
INV000904,4,Dropped
INV000905,1,Dropped
INV000906,8,Consistent
INV000907,7,Consistent
INV000908,4,Dropped
INV000909,5,Dropped
INV000910,5,Dropped
INV000911,1,Dropped
INV000912,7,Consistent
INV000913,6,Consistent
INV000914,7,Consistent
INV000915,6,Consistent
INV000916,1,Dropped
INV000917,1,Dropped
INV000918,3,Dropped
INV000919,6,Consistent
INV000920,9,Consistent
INV000921,5,Dropped
INV000922,5,Dropped
INV000923,1,Dropped
INV000924,1,Dropped
INV000925,8,Consistent
INV000926,7,Consistent
INV000927,6,Consistent
INV000928,1,Dropped
INV000929,7,Consistent
INV000930,8,Consistent
INV000931,5,Dropped
INV000932,2,Dropped
INV000933,7,Consistent
INV000934,3,Dropped
INV000935,7,Consistent
INV000936,1,Dropped
INV000937,3,Dropped
INV000938,2,Dropped
INV000939,9,Consistent
INV000940,4,Dropped
INV000941,5,Dropped
INV000942,10,Consistent
INV000943,4,Dropped
INV000944,4,Dropped
INV000945,1,Dropped
INV000946,4,Dropped
INV000947,5,Dropped
INV000948,2,Dropped
INV000949,8,Consistent
INV000950,9,Consistent
INV000951,1,Dropped
INV000952,1,Dropped
INV000953,4,Dropped
INV000954,9,Consistent
INV000955,5,Dropped
INV000956,1,Dropped
INV000957,8,Consistent
INV000958,5,Dropped
INV000959,7,Consistent
INV000960,6,Consistent
INV000961,4,Dropped
INV000962,8,Consistent
INV000963,5,Dropped
INV000964,4,Dropped
INV000965,1,Dropped
INV000966,11,Consistent
INV000967,2,Dropped
INV000968,5,Dropped
INV000969,7,Consistent
INV000970,5,Dropped
INV000971,6,Consistent
INV000972,9,Consistent
INV000973,2,Dropped
INV000974,7,Consistent
INV000975,2,Dropped
INV000976,2,Dropped
INV000977,6,Consistent
INV000978,5,Dropped
INV000979,7,Consistent
INV000980,8,Consistent
INV000981,9,Consistent
INV000982,2,Dropped
INV000983,3,Dropped
INV000984,7,Consistent
INV000985,6,Consistent
INV000986,6,Consistent
INV000987,4,Dropped
INV000988,7,Consistent
INV000989,6,Consistent
INV000990,4,Dropped
INV000991,2,Dropped
INV000992,6,Consistent
INV000993,1,Dropped
INV000994,7,Consistent
INV000995,5,Dropped
INV000996,2,Dropped
INV000997,7,Consistent
INV000998,3,Dropped
INV000999,6,Consistent
INV001000,1,Dropped
INV001001,6,Consistent
INV001002,8,Consistent
INV001003,4,Dropped
INV001004,4,Dropped
INV001005,8,Consistent
INV001006,4,Dropped
INV001007,2,Dropped
INV001008,7,Consistent
INV001009,7,Consistent
INV001010,1,Dropped
INV001011,5,Dropped
INV001012,3,Dropped
INV001013,8,Consistent
INV001014,7,Consistent
INV001015,5,Dropped
INV001016,4,Dropped
INV001017,6,Consistent
INV001018,3,Dropped
INV001019,6,Consistent
INV001020,6,Consistent
INV001021,6,Consistent
INV001022,4,Dropped
INV001023,9,Consistent
INV001024,5,Dropped
INV001025,6,Consistent
INV001026,8,Consistent
INV001027,6,Consistent
INV001028,4,Dropped
INV001029,9,Consistent
INV001030,3,Dropped
INV001031,8,Consistent
INV001032,1,Dropped
INV001033,2,Dropped
INV001034,5,Dropped
INV001035,1,Dropped
INV001036,8,Consistent
INV001037,9,Consistent
INV001038,3,Dropped
INV001039,7,Consistent
INV001040,4,Dropped
INV001041,6,Consistent
INV001042,6,Consistent
INV001043,6,Consistent
INV001044,3,Dropped
INV001045,7,Consistent
INV001046,4,Dropped
INV001047,8,Consistent
INV001048,9,Consistent
INV001049,6,Consistent
INV001050,4,Dropped
INV001051,8,Consistent
INV001052,5,Dropped
INV001053,9,Consistent
INV001054,2,Dropped
INV001055,8,Consistent
INV001056,3,Dropped
INV001057,4,Dropped
INV001058,9,Consistent
INV001059,4,Dropped
INV001060,9,Consistent
INV001061,8,Consistent
INV001062,5,Dropped
INV001063,10,Consistent
INV001064,8,Consistent
INV001065,5,Dropped
INV001066,4,Dropped
INV001067,8,Consistent
INV001068,5,Dropped
INV001069,8,Consistent
INV001070,8,Consistent
INV001071,3,Dropped
INV001072,2,Dropped
INV001073,1,Dropped
INV001074,6,Consistent
INV001075,6,Consistent
INV001076,3,Dropped
INV001077,7,Consistent
INV001078,1,Dropped
INV001079,6,Consistent
INV001080,7,Consistent
INV001081,4,Dropped
INV001082,4,Dropped
INV001083,6,Consistent
INV001084,1,Dropped
INV001085,2,Dropped
INV001086,3,Dropped
INV001087,6,Consistent
INV001088,5,Dropped
INV001089,1,Dropped
INV001090,1,Dropped
INV001091,5,Dropped
INV001092,7,Consistent
INV001093,7,Consistent
INV001094,6,Consistent
INV001095,2,Dropped
INV001096,7,Consistent
INV001097,2,Dropped
INV001098,1,Dropped
INV001099,7,Consistent
INV001100,1,Dropped
INV001101,6,Consistent
INV001102,9,Consistent
INV001103,7,Consistent
INV001104,2,Dropped
INV001105,2,Dropped
INV001106,4,Dropped
INV001107,4,Dropped
INV001108,4,Dropped
INV001109,6,Consistent
INV001110,4,Dropped
INV001111,5,Dropped
INV001112,5,Dropped
INV001113,6,Consistent
INV001114,2,Dropped
INV001115,7,Consistent
INV001116,9,Consistent
INV001117,8,Consistent
INV001118,8,Consistent
INV001119,3,Dropped
INV001120,2,Dropped
INV001121,4,Dropped
INV001122,3,Dropped
INV001123,8,Consistent
INV001124,7,Consistent
INV001125,1,Dropped
INV001126,3,Dropped
INV001127,4,Dropped
INV001128,9,Consistent
INV001129,1,Dropped
INV001130,9,Consistent
INV001131,9,Consistent
INV001132,1,Dropped
INV001133,5,Dropped
INV001134,2,Dropped
INV001135,1,Dropped
INV001136,3,Dropped
INV001137,7,Consistent
INV001138,8,Consistent
INV001139,3,Dropped
INV001140,6,Consistent
INV001141,8,Consistent
INV001142,7,Consistent
INV001143,3,Dropped
INV001144,6,Consistent
INV001145,2,Dropped
INV001146,1,Dropped
INV001147,4,Dropped
INV001148,3,Dropped
INV001149,4,Dropped
INV001150,3,Dropped
INV001151,3,Dropped
INV001152,4,Dropped
INV001153,1,Dropped
INV001154,5,Dropped
INV001155,7,Consistent
INV001156,9,Consistent
INV001157,7,Consistent
INV001158,5,Dropped
INV001159,3,Dropped
INV001160,9,Consistent
INV001161,8,Consistent
INV001162,2,Dropped
INV001163,10,Consistent
